130012724,Theft,12/20/13 0:00,2100 Block SAN ANTONIO PL,Santa Clara City Police Department,12/20/13,0:00
131220201,Theft,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/13,0:00
130012737,Breaking & Entering,12/20/13 0:00,3600 Block BUCKLEY ST,Santa Clara City Police Department,12/20/13,0:00
130012750,Theft,12/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/13,0:00
131220216,Theft,12/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/13,0:00
130012742,Robbery,12/20/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/20/13,0:00
131220164,Breaking & Entering,12/20/13 0:00,3600 Block BUCKLEY ST,Santa Clara City Police Department,12/20/13,0:00
130012783,Breaking & Entering,12/21/13 0:00,3000 Block LAKESIDE DR,Santa Clara City Police Department,12/21/13,0:00
130012769,Theft,12/21/13 0:00,3000 Block ORTHELLO WAY,Santa Clara City Police Department,12/21/13,0:00
131221051,Theft,12/21/13 0:00,3000 Block ORTHELLO WAY,Santa Clara City Police Department,12/21/13,0:00
131221104,Breaking & Entering,12/21/13 0:00,3000 Block LAKESIDE DR,Santa Clara City Police Department,12/21/13,0:00
131221117,Theft,12/21/13 0:00,CABRILLO AV & FRANCIS AV,Santa Clara City Police Department,12/21/13,0:00
131221124,Theft,12/21/13 0:00,3100 Block EL CAMINO REAL,Santa Clara City Police Department,12/21/13,0:00
131222117,Theft,12/22/13 0:00,1700 Block ANDREA PL,Santa Clara City Police Department,12/22/13,0:00
131222151,Theft,12/22/13 0:00,2000 Block WHITE OAK LN,Santa Clara City Police Department,12/22/13,0:00
131222138,Theft,12/22/13 0:00,2500 Block AMETHYST DR,Santa Clara City Police Department,12/22/13,0:00
130012813,Theft,12/22/13 0:00,2500 Block AMETHYST DR,Santa Clara City Police Department,12/22/13,0:00
130050894,Theft,12/23/13 0:00,2900 Block BARKLEY AV,Santa Clara City Police Department,12/23/13,0:00
130012838,Theft,12/23/13 0:00,HALFORD AV & MIRAMAR WAY,Santa Clara City Police Department,12/23/13,0:00
130012861,Theft,12/24/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,12/24/13,0:00
130050895,Theft,12/24/13 0:00,2000 Block BROWN AV,Santa Clara City Police Department,12/24/13,0:00
130012881,Theft,12/25/13 0:00,2600 Block AGATE CT,Santa Clara City Police Department,12/25/13,0:00
131225038,Theft,12/25/13 0:00,2600 Block AGATE CT,Santa Clara City Police Department,12/25/13,0:00
130012916,Theft,12/26/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/26/13,0:00
130012904,Theft,12/26/13 0:00,3300 Block FOWLER AV,Santa Clara City Police Department,12/26/13,0:00
131226151,Theft,12/26/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/26/13,0:00
131227210,Breaking & Entering,12/27/13 0:00,1500 Block ALPINE AV,Santa Clara City Police Department,12/27/13,0:00
130012922,Theft,12/27/13 0:00,1300 Block VIA DONDERA,Santa Clara City Police Department,12/27/13,0:00
130012952,Breaking & Entering,12/27/13 0:00,1500 Block ALPINE AV,Santa Clara City Police Department,12/27/13,0:00
131227026,Vehicle Recovery,12/27/13 0:00,1300 Block VIA DONDERA,Santa Clara City Police Department,12/27/13,0:00
131228135,Theft,12/28/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/13,0:00
131228003,Theft,12/28/13 0:00,1300 Block POMEROY AV,Santa Clara City Police Department,12/28/13,0:00
130012980,Theft,12/28/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/13,0:00
130012984,Theft,12/28/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/13,0:00
131228121,Theft,12/28/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/28/13,0:00
130012990,Theft,12/28/13 0:00,3300 Block CABRILLO AV,Santa Clara City Police Department,12/28/13,0:00
131228172,Theft,12/28/13 0:00,3300 Block CABRILLO AV,Santa Clara City Police Department,12/28/13,0:00
130013028,Theft,12/30/13 0:00,2500 Block AMETHYST DR,Santa Clara City Police Department,12/30/13,0:00
S140510414,Breaking & Entering,2/20/14 19:09,900 Block TERRACE DR,Santa Clara County Sheriff's Office,2/20/14,19:09
140001933,Theft,2/20/14 0:00,1900 Block HALFORD AV,Santa Clara City Police Department,2/20/14,0:00
140220223,Theft,2/20/14 0:00,3700 Block POINCIANA DR,Santa Clara City Police Department,2/20/14,0:00
140220208,Theft,2/20/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/20/14,0:00
140220170,Breaking & Entering,2/20/14 0:00,2400 Block AMETHYST DR,Santa Clara City Police Department,2/20/14,0:00
140001939,Theft,2/20/14 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,2/20/14,0:00
140001936,Theft,2/20/14 0:00,3700 Block POINCIANA DR,Santa Clara City Police Department,2/20/14,0:00
140001949,Theft,2/20/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/20/14,0:00
140001897,Theft,2/19/14 0:00,2100 Block BROWN AV,Santa Clara City Police Department,2/19/14,0:00
140219178,Theft,2/19/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/19/14,0:00
140001895,Theft,2/19/14 0:00,3400 Block VICTORIA AV,Santa Clara City Police Department,2/19/14,0:00
140001875,Theft,2/19/14 0:00,3500 Block GRANADA AV,Santa Clara City Police Department,2/19/14,0:00
140001874,Theft,2/19/14 0:00,3400 Block VICTORIA AV,Santa Clara City Police Department,2/19/14,0:00
140218095,Theft,2/18/14 0:00,2900 Block CABRILLO AV,Santa Clara City Police Department,2/18/14,0:00
140001835,Theft,2/18/14 0:00,3100 Block EL CAMINO REAL,Santa Clara City Police Department,2/18/14,0:00
140001836,Assault,2/18/14 0:00,LAWRENCE STATION RD & ST LAWRENCE DR,Santa Clara City Police Department,2/18/14,0:00
S140480234,Theft,2/17/14 13:26,100 Block HOLLAND CT,Santa Clara County Sheriff's Office,2/17/14,13:26
140217147,Theft,2/17/14 0:00,3300 Block EL CAMINO REAL,Santa Clara City Police Department,2/17/14,0:00
140001795,Theft,2/17/14 0:00,3600 Block ENOCHS,Santa Clara City Police Department,2/17/14,0:00
140217164,Vehicle Recovery,2/17/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,2/17/14,0:00
140217189,Theft,2/17/14 0:00,2900 Block EL CAMINO REAL,Santa Clara City Police Department,2/17/14,0:00
140217190,Theft,2/17/14 0:00,3200 Block CENTRAL EXPY,Santa Clara City Police Department,2/17/14,0:00
140001821,Theft,2/17/14 0:00,2900 Block EL CAMINO REAL,Santa Clara City Police Department,2/17/14,0:00
140001813,Vehicle Recovery,2/17/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,2/17/14,0:00
140217166,Robbery,2/17/14 0:00,3300 Block EL CAMINO REAL,Santa Clara City Police Department,2/17/14,0:00
140001822,Theft,2/17/14 0:00,3200 Block CENTRAL EXPY,Santa Clara City Police Department,2/17/14,0:00
140212043,Breaking & Entering,2/12/14 0:00,3100 Block LAKESIDE DR,Santa Clara City Police Department,2/12/14,0:00
140212181,Breaking & Entering,2/12/14 0:00,2900 Block KIFER RD,Santa Clara City Police Department,2/12/14,0:00
140212202,Vehicle Recovery,2/12/14 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,2/12/14,0:00
140001617,Breaking & Entering,2/12/14 0:00,2900 Block KIFER RD,Santa Clara City Police Department,2/12/14,0:00
140001620,Vehicle Recovery,2/12/14 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,2/12/14,0:00
140212199,Theft,2/12/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,2/12/14,0:00
140001619,Theft,2/12/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,2/12/14,0:00
S140420503,Theft from Vehicle,2/11/14 23:47,1 Block BLOCK MISSION COLLEGE BLVD,Santa Clara County Sheriff's Office,2/11/14,23:47
140001582,Theft,2/11/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/11/14,0:00
140211213,Theft,2/11/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/11/14,0:00
S140410297,Theft,2/10/14 15:33,1 Block,Santa Clara County Sheriff's Office,2/10/14,15:33
140001529,Theft,2/10/14 0:00,2500 Block AMETHYST DR,Santa Clara City Police Department,2/10/14,0:00
140002420,Theft,2/10/14 0:00,2800 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/10/14,0:00
140001538,Theft,2/10/14 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,2/10/14,0:00
140210171,Theft,2/10/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/10/14,0:00
140210170,Theft,2/10/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/10/14,0:00
140210168,Theft,2/10/14 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,2/10/14,0:00
140209146,Theft,2/9/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/9/14,0:00
140001500,Other Sexual Offense,2/9/14 0:00,EL CAMINO REAL & FLORA VISTA AV,Santa Clara City Police Department,2/9/14,0:00
140209170,Theft,2/9/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/9/14,0:00
140001497,Theft,2/9/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,2/9/14,0:00
140208093,Assault,2/8/14 0:00,3600 Block EL CAMINO REAL,Santa Clara City Police Department,2/8/14,0:00
140208058,Breaking & Entering,2/8/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,2/8/14,0:00
140208160,Breaking & Entering,2/8/14 0:00,3400 Block VICTORIA AV,Santa Clara City Police Department,2/8/14,0:00
140208132,Theft,2/8/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/8/14,0:00
140206068,Vehicle Recovery,2/6/14 0:00,HALFORD AV & LILLICK DR,Santa Clara City Police Department,2/6/14,0:00
140001376,Vehicle Recovery,2/6/14 0:00,HALFORD AV & LILLICK DR,Santa Clara City Police Department,2/6/14,0:00
140001396,Theft,2/6/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/6/14,0:00
140206153,Theft,2/6/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/6/14,0:00
S140360298,Theft,2/5/14 14:04,900 Block LUNDY LN,Santa Clara County Sheriff's Office,2/5/14,14:04
140001361,Theft,2/5/14 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,2/5/14,0:00
140001332,Assault,2/5/14 0:00,3500 Block AGATE DR,Santa Clara City Police Department,2/5/14,0:00
140001345,Theft,2/5/14 0:00,MONROE ST & SAN JUAN AV,Santa Clara City Police Department,2/5/14,0:00
140001363,Theft,2/5/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,2/5/14,0:00
140205230,Theft,2/5/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,2/5/14,0:00
140203099,Assault,2/3/14 0:00,3300 Block EL CAMINO REAL,Santa Clara City Police Department,2/3/14,0:00
140001268,Theft,2/3/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/3/14,0:00
140001267,Theft,2/3/14 0:00,POMEROY AV & WARBURTON AV,Santa Clara City Police Department,2/3/14,0:00
140202150,Theft,2/2/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/2/14,0:00
140001246,Theft,2/2/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,2/2/14,0:00
140001238,Theft,2/2/14 0:00,1700 Block HALFORD AV,Santa Clara City Police Department,2/2/14,0:00
140202095,Theft,2/2/14 0:00,1700 Block HALFORD AV,Santa Clara City Police Department,2/2/14,0:00
140001226,Other Sexual Offense,2/1/14 0:00,1800 Block BRIARWOOD DR,Santa Clara City Police Department,2/1/14,0:00
S140010271,Theft,1/1/14 17:52,1400 Block COUNTRY CLUB DR,Santa Clara County Sheriff's Office,1/1/14,17:52
140000044,Theft,1/2/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,1/2/14,0:00
140102074,Breaking & Entering,1/2/14 0:00,1300 Block POMEROY AV,Santa Clara City Police Department,1/2/14,0:00
140000049,Breaking & Entering,1/2/14 0:00,1300 Block POMEROY AV,Santa Clara City Police Department,1/2/14,0:00
140102047,Theft,1/2/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,1/2/14,0:00
140000115,Assault,1/3/14 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,1/3/14,0:00
140000078,Theft,1/3/14 0:00,3400 Block BONITA AV,Santa Clara City Police Department,1/3/14,0:00
140103232,Assault,1/3/14 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,1/3/14,0:00
140103142,Theft,1/3/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/3/14,0:00
140000080,Breaking & Entering,1/3/14 0:00,3500 Block WARBURTON AV,Santa Clara City Police Department,1/3/14,0:00
140103071,Breaking & Entering,1/3/14 0:00,3500 Block WARBURTON AV,Santa Clara City Police Department,1/3/14,0:00
140000100,Theft,1/3/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/3/14,0:00
140000119,Theft,1/4/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,1/4/14,0:00
140104019,Theft,1/4/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,1/4/14,0:00
140104080,Theft,1/4/14 0:00,3500 Block MONROE ST,Santa Clara City Police Department,1/4/14,0:00
140000171,Theft,1/6/14 0:00,1800 Block BRIARWOOD DR,Santa Clara City Police Department,1/6/14,0:00
S140060349,Other Sexual Offense,1/6/14 18:16,CASTRO ST,Santa Clara County Sheriff's Office,1/6/14,18:16
140107232,Theft,1/7/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/7/14,0:00
140000221,Theft,1/7/14 0:00,3300 Block GRANADA AV,Santa Clara City Police Department,1/7/14,0:00
140000240,Theft,1/7/14 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,1/7/14,0:00
140107229,Theft,1/7/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/7/14,0:00
140000227,Theft,1/7/14 0:00,3400 Block AGATE DR,Santa Clara City Police Department,1/7/14,0:00
140000243,Theft,1/7/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/7/14,0:00
140000242,Theft,1/7/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/7/14,0:00
140107222,Theft,1/7/14 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,1/7/14,0:00
140107236,Theft,1/7/14 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,1/7/14,0:00
140000285,Other Sexual Offense,1/8/14 0:00,2900 Block SALLY CT,Santa Clara City Police Department,1/8/14,0:00
140108211,Theft,1/8/14 0:00,3000 Block EL CAMINO REAL,Santa Clara City Police Department,1/8/14,0:00
140108213,Theft,1/8/14 0:00,2900 Block EL CAMINO REAL,Santa Clara City Police Department,1/8/14,0:00
140000257,Theft,1/8/14 0:00,3600 Block FLORA VISTA AV,Santa Clara City Police Department,1/8/14,0:00
140000269,Theft,1/8/14 0:00,3500 Block WARBURTON AV,Santa Clara City Police Department,1/8/14,0:00
140000276,Theft,1/8/14 0:00,3100 Block EL CAMINO REAL,Santa Clara City Police Department,1/8/14,0:00
140108190,Theft,1/8/14 0:00,3100 Block EL CAMINO REAL,Santa Clara City Police Department,1/8/14,0:00
140000283,Theft,1/8/14 0:00,3000 Block EL CAMINO REAL,Santa Clara City Police Department,1/8/14,0:00
140109028,Theft,1/9/14 0:00,AGATE DR & FRENCH ST,Santa Clara City Police Department,1/9/14,0:00
140000292,Theft,1/9/14 0:00,3400 Block AGATE DR,Santa Clara City Police Department,1/9/14,0:00
140000323,Robbery,1/9/14 0:00,AGATE DR & FRENCH ST,Santa Clara City Police Department,1/9/14,0:00
140109234,Theft,1/9/14 0:00,3300 Block CABRILLO AV,Santa Clara City Police Department,1/9/14,0:00
140000362,Theft,1/10/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/10/14,0:00
140000337,Theft,1/10/14 0:00,3500 Block GRANADA AV,Santa Clara City Police Department,1/10/14,0:00
140000360,Breaking & Entering,1/10/14 0:00,2200 Block CAPISTRANO DR,Santa Clara City Police Department,1/10/14,0:00
140110051,Theft,1/10/14 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,1/10/14,0:00
140110181,Theft,1/10/14 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,1/10/14,0:00
140111165,Theft,1/11/14 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,1/11/14,0:00
140111171,Theft,1/11/14 0:00,3600 Block EL CAMINO REAL,Santa Clara City Police Department,1/11/14,0:00
140000387,Theft,1/11/14 0:00,2600 Block MORAINE DR,Santa Clara City Police Department,1/11/14,0:00
140000404,Theft,1/11/14 0:00,3600 Block EL CAMINO REAL,Santa Clara City Police Department,1/11/14,0:00
140111066,Theft,1/11/14 0:00,2600 Block MORAINE DR,Santa Clara City Police Department,1/11/14,0:00
140000406,Theft,1/11/14 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,1/11/14,0:00
140111166,Theft,1/11/14 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,1/11/14,0:00
140000434,Other Sexual Offense,1/12/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,1/12/14,0:00
140112002,Robbery,1/12/14 0:00,2400 Block LAWRENCE EXPY,Santa Clara City Police Department,1/12/14,0:00
140000405,Theft,1/12/14 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,1/12/14,0:00
140113219,Breaking & Entering,1/13/14 0:00,3700 Block POINCIANA DR,Santa Clara City Police Department,1/13/14,0:00
140000484,Breaking & Entering,1/13/14 0:00,1900 Block MAGDALENA CIR,Santa Clara City Police Department,1/13/14,0:00
140000466,Breaking & Entering,1/13/14 0:00,1300 Block POMEROY AV,Santa Clara City Police Department,1/13/14,0:00
140113102,Theft,1/13/14 0:00,1300 Block POMEROY AV,Santa Clara City Police Department,1/13/14,0:00
140113217,Theft,1/13/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,1/13/14,0:00
140113132,Other Sexual Offense,1/13/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,1/13/14,0:00
140000492,Theft,1/13/14 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,1/13/14,0:00
140113206,Breaking & Entering,1/13/14 0:00,3700 Block POINCIANA DR,Santa Clara City Police Department,1/13/14,0:00
140000487,Theft,1/13/14 0:00,2900 Block EL CAMINO REAL,Santa Clara City Police Department,1/13/14,0:00
140000491,Breaking & Entering,1/13/14 0:00,3700 Block POINCIANA DR,Santa Clara City Police Department,1/13/14,0:00
140000471,Other Sexual Offense,1/13/14 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,1/13/14,0:00
140113200,Theft,1/13/14 0:00,2900 Block EL CAMINO REAL,Santa Clara City Police Department,1/13/14,0:00
140113183,Breaking & Entering,1/13/14 0:00,1900 Block MAGDALENA CIR,Santa Clara City Police Department,1/13/14,0:00
140000518,Assault,1/14/14 0:00,3100 Block ORTHELLO WAY,Santa Clara City Police Department,1/14/14,0:00
140114215,Theft,1/14/14 0:00,2900 Block GORDON AV,Santa Clara City Police Department,1/14/14,0:00
140000508,Theft,1/14/14 0:00,1700 Block LAWRENCE RD,Santa Clara City Police Department,1/14/14,0:00
140114160,Assault,1/14/14 0:00,3100 Block ORTHELLO WAY,Santa Clara City Police Department,1/14/14,0:00
S140140214,Theft,1/14/14 12:39,1 Block BLOCK MISSION COLLEGE BLVD,Santa Clara County Sheriff's Office,1/14/14,12:39
140000563,Breaking & Entering,1/15/14 0:00,2600 Block KITSAP CT,Santa Clara City Police Department,1/15/14,0:00
140000574,Breaking & Entering,1/15/14 0:00,1300 Block POMEROY AV,Santa Clara City Police Department,1/15/14,0:00
140115200,Breaking & Entering,1/15/14 0:00,1300 Block POMEROY AV,Santa Clara City Police Department,1/15/14,0:00
140115158,Breaking & Entering,1/15/14 0:00,2600 Block KITSAP CT,Santa Clara City Police Department,1/15/14,0:00
131105230,Theft,11/5/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,11/5/13,0:00
130011220,Theft,11/5/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,11/5/13,0:00
131105055,Assault,11/5/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,11/5/13,0:00
131105227,Theft,11/5/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,11/5/13,0:00
130011219,Theft,11/5/13 0:00,2900 Block LAKESIDE DR,Santa Clara City Police Department,11/5/13,0:00
130011187,Assault,11/5/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,11/5/13,0:00
131105079,Assault,11/5/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,11/5/13,0:00
131106192,Breaking & Entering,11/6/13 0:00,3400 Block GRANADA AV,Santa Clara City Police Department,11/6/13,0:00
130011281,Theft,11/7/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/7/13,0:00
130050795,Theft,11/7/13 0:00,1900 Block HALFORD AVE,Santa Clara City Police Department,11/7/13,0:00
130011291,Breaking & Entering,11/7/13 0:00,3600 Block LILLICK DR,Santa Clara City Police Department,11/7/13,0:00
131107202,Breaking & Entering,11/7/13 0:00,3600 Block LILLICK DR,Santa Clara City Police Department,11/7/13,0:00
131107172,Theft,11/7/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/7/13,0:00
130011334,Assault,11/8/13 0:00,3100 Block MONROE ST,Santa Clara City Police Department,11/8/13,0:00
131109070,Theft,11/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/9/13,0:00
131109175,Assault,11/9/13 0:00,3300 Block AGATE DR,Santa Clara City Police Department,11/9/13,0:00
131109010,Assault,11/9/13 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,11/9/13,0:00
130011349,Theft,11/9/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/9/13,0:00
130050799,Theft,11/9/13 0:00,3500 Block AGATE DR,Santa Clara City Police Department,11/9/13,0:00
130011383,Theft,11/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/10/13,0:00
130011391,Assault,11/10/13 0:00,3500 Block FLORA VISTA AV,Santa Clara City Police Department,11/10/13,0:00
131110105,Theft,11/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/10/13,0:00
130011382,Theft,11/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/10/13,0:00
131110127,Theft,11/10/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/10/13,0:00
131110162,Assault,11/10/13 0:00,3500 Block FLORA VISTA AV,Santa Clara City Police Department,11/10/13,0:00
131111020,Theft,11/11/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department,11/11/13,0:00
131111171,Other Sexual Offense,11/11/13 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,11/11/13,0:00
130011396,Theft,11/11/13 0:00,3300 Block SCOTT BLVD,Santa Clara City Police Department,11/11/13,0:00
131112240,Theft,11/12/13 0:00,3500 Block GRANADA AV,Santa Clara City Police Department,11/12/13,0:00
130050808,Theft,11/12/13 0:00,3000 Block BARKLEY AV,Santa Clara City Police Department,11/12/13,0:00
130011458,Theft,11/12/13 0:00,3500 Block GRANADA AV,Santa Clara City Police Department,11/12/13,0:00
130011444,Theft,11/12/13 0:00,3200 Block EL CAMINO REAL,Santa Clara City Police Department,11/12/13,0:00
131112182,Other Sexual Offense,11/12/13 0:00,3600 Block EL CAMINO REAL,Santa Clara City Police Department,11/12/13,0:00
130011476,Theft,11/13/13 0:00,1600 Block POMEROY AV 1,Santa Clara City Police Department,11/13/13,0:00
130011520,Assault,11/14/13 0:00,1900 Block HALFORD AV,Santa Clara City Police Department,11/14/13,0:00
131114122,Breaking & Entering,11/14/13 0:00,2400 Block PACIFIC DR,Santa Clara City Police Department,11/14/13,0:00
130011501,Breaking & Entering,11/14/13 0:00,2400 Block PACIFIC DR,Santa Clara City Police Department,11/14/13,0:00
130011505,Theft,11/14/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/14/13,0:00
131114141,Theft,11/14/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/14/13,0:00
131114240,Theft,11/14/13 0:00,EL CAMINO REAL & LAWRENCE EXPY,Santa Clara City Police Department,11/14/13,0:00
131114019,Breaking & Entering,11/14/13 0:00,2000 Block WHITE OAK LN,Santa Clara City Police Department,11/14/13,0:00
131115135,Theft,11/15/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,11/15/13,0:00
130011546,Theft,11/15/13 0:00,3500 Block EL CAMINO REAL,Santa Clara City Police Department,11/15/13,0:00
130011557,Breaking & Entering,11/15/13 0:00,3700 Block TAMARACK LN,Santa Clara City Police Department,11/15/13,0:00
131115201,Breaking & Entering,11/15/13 0:00,3700 Block TAMARACK LN,Santa Clara City Police Department,11/15/13,0:00
131116128,Theft,11/16/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/16/13,0:00
131116186,Theft,11/16/13 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,11/16/13,0:00
130011591,Theft,11/16/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/16/13,0:00
131116061,Theft,11/16/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/16/13,0:00
130011596,Theft,11/16/13 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,11/16/13,0:00
130011616,Theft,11/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/17/13,0:00
131117111,Theft,11/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/17/13,0:00
131117136,Theft,11/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/17/13,0:00
130011619,Theft,11/17/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/17/13,0:00
130011637,Theft,11/18/13 0:00,1700 Block HALFORD AV,Santa Clara City Police Department,11/18/13,0:00
130011648,Theft,11/18/13 0:00,3100 Block MISSION COLLEGE BLVD,Santa Clara City Police Department,11/18/13,0:00
130011681,Theft,11/19/13 0:00,3200 Block MONROE ST,Santa Clara City Police Department,11/19/13,0:00
130011715,Theft,11/20/13 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,11/20/13,0:00
131120277,Theft,11/20/13 0:00,2400 Block PACIFIC DR,Santa Clara City Police Department,11/20/13,0:00
131120181,Theft,11/20/13 0:00,3400 Block EL CAMINO REAL,Santa Clara City Police Department,11/20/13,0:00
130011727,Theft,11/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/20/13,0:00
130011728,Theft,11/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/20/13,0:00
131120256,Theft,11/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/20/13,0:00
131120257,Theft,11/20/13 0:00,3700 Block EL CAMINO REAL,Santa Clara City Police Department,11/20/13,0:00
130011740,Breaking & Entering,11/20/13 0:00,2200 Block CROCKER WAY,Santa Clara City Police Department,11/20/13,0:00
